iter	Passed	Remaining
0	1	11749
1	3	10524
2	5	10129
3	6	9755
4	7	9537
5	9	9423
6	10	9280
7	12	9118
8	13	9020
9	14	8956
10	16	8914
11	18	9033
12	19	9026
13	21	9009
14	22	9006
15	23	8972
16	25	8945
17	26	8911
18	28	8925
19	29	8890
20	31	8854
21	32	8908
22	34	8882
23	35	8870
24	36	8839
25	38	8822
26	39	8798
27	41	8776
28	42	8763
29	43	8740
30	45	8726
31	46	8709
32	48	8777
33	50	8803
34	51	8800
35	53	8788
36	54	8769
37	55	8757
38	57	8746
39	58	8730
40	59	8715
41	61	8703
42	63	8738
43	64	8772
44	66	8761
45	67	8751
46	69	8762
47	70	8763
48	72	8753
49	73	8738
50	74	8729
51	76	8732
52	78	8770
53	79	8788
54	81	8790
55	82	8784
56	84	8780
57	85	8777
58	87	8770
59	88	8767
60	90	8765
61	91	8758
62	93	8792
63	95	8825
64	96	8845
65	98	8845
66	99	8837
67	101	8844
68	102	8843
69	104	8836
70	105	8832
71	107	8833
72	109	8860
73	110	8875
74	112	8870
75	113	8877
76	115	8900
77	117	8906
78	118	8912
79	120	8913
80	122	8915
81	123	8929
82	125	8936
83	126	8943
84	128	8947
85	130	8940
86	131	8933
87	132	8925
88	134	8922
89	135	8921
90	137	8927
91	139	8947
92	141	8959
93	142	8961
94	144	8968
95	145	8970
96	147	8968
97	148	8973
98	150	8970
99	152	8979
100	154	9000
101	155	9004
102	157	9015
103	159	9015
104	160	9016
105	162	9012
106	163	9012
107	165	9006
108	166	9007
109	168	9024
110	170	9040
111	172	9049
112	173	9052
113	175	9053
114	176	9053
115	178	9055
116	180	9061
117	181	9067
118	183	9072
119	185	9075
120	186	9068
121	188	9072
122	190	9079
123	191	9082
124	193	9087
125	195	9095
126	196	9096
127	198	9107
128	200	9119
129	201	9120
130	203	9119
131	205	9118
132	206	9119
133	208	9121
134	209	9114
135	211	9110
136	213	9118
137	214	9119
138	216	9121
139	217	9118
140	219	9121
141	221	9128
142	222	9128
143	224	9124
144	225	9121
145	227	9123
146	229	9129
147	231	9142
148	233	9149
149	234	9152
150	236	9152
151	237	9151
152	239	9156
153	241	9163
154	243	9163
155	244	9169
156	246	9172
157	248	9173
158	249	9180
159	251	9183
160	253	9183
161	254	9183
162	256	9179
163	258	9183
164	259	9186
165	261	9185
166	262	9181
167	264	9178
168	265	9176
169	267	9173
170	269	9171
171	270	9171
172	272	9176
173	274	9180
174	275	9175
175	277	9172
176	278	9173
177	280	9173
178	282	9172
179	283	9171
180	285	9168
181	286	9171
182	288	9171
183	290	9172
184	291	9172
185	293	9174
186	295	9178
187	297	9187
188	298	9184
189	300	9182
190	302	9188
191	303	9190
192	305	9188
193	307	9188
194	308	9192
195	310	9190
196	311	9189
197	313	9191
198	315	9190
199	316	9186
200	318	9188
201	320	9197
202	322	9198
203	323	9194
204	325	9190
205	326	9190
206	328	9190
207	330	9191
208	331	9191
209	333	9191
210	335	9192
211	336	9195
212	338	9193
213	339	9190
214	341	9190
215	343	9187
216	344	9184
217	346	9183
218	347	9181
219	349	9182
220	351	9188
221	353	9190
222	354	9190
223	356	9199
224	358	9207
225	360	9216
226	362	9221
227	364	9224
228	366	9230
229	368	9234
230	369	9235
231	371	9239
232	373	9243
233	375	9247
234	377	9255
235	379	9264
236	381	9270
237	382	9269
238	384	9269
239	386	9270
240	387	9268
241	389	9274
242	391	9276
243	393	9276
244	395	9289
245	397	9300
246	399	9312
247	401	9322
248	404	9333
249	406	9345
250	408	9349
251	413	9420
252	415	9437
253	417	9447
254	419	9458
255	421	9467
256	424	9479
257	426	9493
258	428	9498
259	430	9503
260	432	9506
261	434	9507
262	435	9505
263	437	9505
264	439	9501
265	440	9501
266	442	9500
267	444	9496
268	445	9494
269	447	9491
270	449	9494
271	451	9497
272	452	9495
273	454	9494
274	455	9492
275	457	9491
276	459	9487
277	460	9484
278	462	9485
279	464	9488
280	466	9490
281	467	9489
282	470	9496
283	472	9500
284	473	9500
285	475	9499
286	477	9500
287	478	9497
288	480	9492
289	481	9485
290	483	9486
291	485	9489
292	487	9486
293	488	9484
294	490	9480
295	491	9480
296	493	9478
297	495	9473
298	496	9466
299	498	9465
300	499	9466
301	501	9467
302	503	9464
303	505	9462
304	506	9465
305	508	9464
306	510	9461
307	512	9463
308	513	9464
309	515	9465
310	517	9462
311	518	9456
312	520	9453
313	521	9448
314	523	9446
315	525	9445
316	527	9450
317	529	9458
318	531	9471
319	534	9479
320	535	9480
321	537	9484
322	540	9491
323	541	9492
324	543	9494
325	546	9503
326	547	9502
327	549	9500
328	551	9499
329	552	9499
330	554	9498
331	556	9494
332	557	9491
333	559	9492
334	561	9494
335	563	9495
336	565	9495
337	566	9492
338	568	9492
339	570	9489
340	571	9488
341	573	9486
342	574	9483
343	576	9484
344	578	9479
345	579	9476
346	581	9473
347	583	9469
348	584	9468
349	586	9467
350	588	9463
351	589	9459
352	591	9458
353	592	9456
354	594	9455
355	596	9455
356	598	9455
357	599	9452
358	601	9452
359	603	9449
360	604	9448
361	606	9448
362	608	9450
363	610	9450
364	612	9450
365	614	9451
366	615	9449
367	617	9446
368	618	9442
369	620	9439
370	622	9440
371	624	9441
372	625	9441
373	627	9440
374	629	9437
375	630	9435
376	632	9432
377	633	9429
378	635	9427
379	637	9427
380	639	9424
381	640	9420
382	642	9417
383	644	9420
384	646	9421
385	647	9418
386	649	9415
387	650	9412
388	652	9410
389	653	9407
390	655	9403
391	657	9399
392	658	9399
393	660	9397
394	661	9393
395	663	9390
396	665	9387
397	666	9385
398	668	9383
399	670	9382
400	671	9380
401	673	9380
402	675	9376
403	676	9373
404	678	9371
405	679	9367
406	681	9363
407	683	9364
408	684	9362
409	686	9361
410	688	9362
411	690	9362
412	692	9361
413	693	9359
414	695	9355
415	697	9356
416	698	9356
417	700	9356
418	702	9352
419	703	9349
420	705	9346
421	706	9343
422	708	9338
423	709	9335
424	711	9331
425	713	9330
426	714	9330
427	716	9328
428	718	9326
429	719	9324
430	721	9321
431	722	9318
432	724	9314
433	726	9311
434	727	9310
435	729	9306
436	730	9303
437	732	9299
438	733	9295
439	735	9291
440	736	9288
441	738	9285
442	739	9281
443	741	9277
444	743	9276
445	744	9276
446	746	9273
447	748	9270
448	749	9268
449	751	9265
450	752	9262
451	754	9258
452	755	9256
453	757	9252
454	759	9251
455	760	9246
456	761	9242
457	763	9238
458	764	9234
459	766	9229
460	767	9224
461	769	9219
462	770	9215
463	771	9210
464	773	9207
465	775	9205
466	776	9203
467	778	9201
468	779	9197
469	781	9194
470	783	9192
471	784	9188
472	785	9183
473	787	9179
474	789	9177
475	790	9174
476	792	9171
477	793	9168
478	795	9165
479	796	9163
480	798	9159
481	799	9155
482	801	9151
483	802	9147
484	804	9144
485	806	9144
486	807	9144
487	809	9141
488	810	9137
489	812	9134
490	813	9130
491	815	9125
492	816	9123
493	818	9119
494	820	9119
495	821	9117
496	823	9115
497	824	9112
498	826	9110
499	828	9108
500	829	9105
501	831	9103
502	832	9100
503	834	9097
504	836	9098
505	837	9097
506	839	9096
507	841	9094
508	842	9093
509	844	9089
510	845	9086
511	847	9083
512	849	9081
513	850	9081
514	852	9079
515	853	9075
516	855	9072
517	857	9072
518	858	9069
519	860	9067
520	861	9064
521	863	9061
522	865	9061
523	866	9059
524	868	9056
525	870	9054
526	871	9051
527	873	9048
528	874	9045
529	876	9042
530	877	9038
531	879	9036
532	880	9035
533	882	9033
534	884	9031
535	885	9029
536	887	9026
537	888	9023
538	890	9019
539	891	9016
540	893	9014
541	894	9011
542	896	9010
543	898	9010
544	900	9008
545	901	9007
546	903	9005
547	904	9001
548	906	8997
549	907	8994
550	909	8991
551	911	8991
552	912	8989
553	914	8987
554	915	8984
555	917	8983
556	919	8980
557	920	8978
558	922	8976
559	923	8974
560	925	8974
561	927	8973
562	928	8970
563	930	8967
564	931	8964
565	933	8961
566	934	8958
567	936	8957
568	938	8954
569	939	8953
570	941	8952
571	943	8951
572	944	8949
573	946	8945
574	948	8945
575	949	8942
576	951	8940
577	952	8939
578	954	8936
579	956	8937
580	958	8935
581	959	8933
582	961	8930
583	962	8927
584	964	8923
585	965	8919
586	967	8917
587	968	8915
588	970	8915
589	972	8913
590	973	8911
591	975	8908
592	976	8905
593	978	8902
594	979	8901
595	981	8898
596	983	8897
597	984	8897
598	986	8894
599	988	8892
600	989	8889
601	991	8886
602	992	8883
603	994	8881
604	995	8878
605	997	8876
606	998	8875
607	1000	8873
608	1002	8871
609	1003	8868
610	1005	8866
611	1006	8863
612	1008	8860
613	1009	8858
614	1011	8856
615	1013	8855
616	1014	8852
617	1016	8850
618	1017	8847
619	1019	8845
620	1020	8842
621	1022	8840
622	1023	8837
623	1025	8834
624	1026	8831
625	1028	8829
626	1029	8825
627	1031	8823
628	1033	8821
629	1034	8817
630	1035	8814
631	1037	8811
632	1039	8809
633	1040	8806
634	1042	8806
635	1043	8802
636	1045	8798
637	1046	8795
638	1047	8791
639	1049	8788
640	1050	8785
641	1052	8782
642	1053	8778
643	1055	8774
644	1056	8772
645	1058	8773
646	1060	8770
647	1061	8768
648	1063	8766
649	1064	8763
650	1066	8760
651	1067	8757
652	1069	8754
653	1070	8751
654	1072	8750
655	1073	8747
656	1075	8744
657	1076	8740
658	1078	8738
659	1079	8734
660	1081	8731
661	1082	8728
662	1083	8725
663	1085	8721
664	1086	8719
665	1088	8718
666	1090	8715
667	1091	8712
668	1093	8710
669	1094	8708
670	1096	8706
671	1097	8705
672	1099	8702
673	1100	8700
674	1102	8698
675	1104	8697
676	1105	8696
677	1107	8692
678	1108	8689
679	1110	8686
680	1111	8683
681	1113	8680
682	1114	8677
683	1116	8673
684	1117	8670
685	1118	8667
686	1120	8664
687	1121	8661
688	1123	8657
689	1124	8654
690	1125	8651
691	1127	8648
692	1128	8645
693	1130	8641
694	1131	8639
695	1133	8640
696	1135	8637
697	1136	8634
698	1138	8633
699	1140	8631
700	1141	8629
701	1143	8627
702	1144	8624
703	1146	8621
704	1147	8619
705	1149	8616
706	1150	8614
707	1152	8612
708	1153	8609
709	1155	8607
710	1156	8604
711	1158	8602
712	1159	8600
713	1161	8598
714	1163	8600
715	1165	8597
716	1166	8594
717	1167	8592
718	1169	8589
719	1170	8587
720	1172	8584
721	1173	8581
722	1175	8579
723	1176	8576
724	1178	8576
725	1180	8573
726	1181	8572
727	1183	8569
728	1184	8568
729	1186	8566
730	1188	8564
731	1189	8563
732	1191	8561
733	1193	8561
